table_name,description
AABLG,''
AABPO,''
AACGL,''
AAGRI,''
AAGRL,''
AANF,''
AANT,''
AAPF,''
AAPI,''
AAPL,''
AARQ,''
AAVG,''
ABAP,''
ABCCT,''
ABCMC,''
ABCN1,''
ABCN2,''
ABCN3,''
ABEXP,''
ABFCT,''
ABER,''
ABGF,''
ABIH,''
ABIN,''
ABKRS,''
ABMA,''
ABME,''
ABNK,''
ABNUM,''
ABPC,''
ABRF,''
ABRP,''
ABST,''
ABUM,''
ABZA,''
ACAC,''
ACDOCA,''
ACDOCC,''
ACEP,''
ACGL,''
ACKEC,''
ACKEG,''
ACKHD,''
ACKNE,''
ACPOS,''
ADCP,''
ADRC,''
ADRCT,''
ADRP,''
ADSUB,''
ADTEL,''
AFBG,''
AFKO,''
AFPO,''
AFRU,''
AFVC,''
AFVV,''
AGBGS,''
AGEHR,''
AGET,''
AGFES,''
AGFSN,''
AGGLV,''
AGGPA,''
AGGRI,''
AGKEX,''
AGKON,''
AGMEM,''
AGNM,''
AGPRO,''
AGRPS,''
AGRUF,''
AGRUP,''
AGRZL,''
AGSSA,''
AGSST,''
AGSTC,''
AGSTM,''
AGSTN,''
AGSTO,''
AGSTP,''
AGSTR,''
AGSTS,''
AGSTT,''
AGSTU,''
AGSTV,''
AGSTW,''
AGSTX,''
AGSTY,''
AGSTZ,''
AGTAB,''
AGUNT,''
AGVBA,''
AGVER,''
AGVGA,''
AGVGP,''
AGVGU,''
AGVSA,''
AGVSE,''
AHFTX,''
AIND,''
AIRS,''
AJAB,''
AJRH,''
AKDOC,''
AKLG,''
AKLS,''
AKMN,''
AKOE,''
AKOM,''
AKRD,''
AKRK,''
AKRM,''
AKRP,''
AKTG,''
AKTL,''
AKTP,''
AKTS,''
AKTV,''
ALCK,''
ALFC,''
ALKO,''
ALKT,''
ALPR,''
ALRP,''
ALRT,''
ALSR,''
ALST,''
AMDC,''
AMDR,''
AMIG,''
AMLD,''
AMLP,''
AMLT,''
AMPL,''
AMVM,''
AMVP,''
AMVS,''
ANLA,''
ANLB,''
ANLC,''
ANLH,''
ANLP,''
ANLV,''
ANLZ,''
ANMK,''
ANMS,''
ANMT,''
ANOM,''
ANPA,''
ANPH,''
ANPR,''
ANPT,''
ANRU,''
ANTA,''
ANTK,''
ANTL,''
ANTM,''
ANTP,''
ANVA,''
ANWE,''
AOBJ,''
AONR,''
AORD,''
APAK,''
APAY,''
APBD,''
APBP,''
APBR,''
APBS,''
APBT,''
APBW,''
APBX,''
APBY,''
APBZ,''
APCO,''
APDB,''
APDC,''
APDD,''
APDE,''
APDF,''
APDG,''
APDH,''
APDI,''
APDJ,''
APDK,''
APDL,''
APDM,''
APDN,''
APDO,''
APDP,''
APDQ,''
APDR,''
APDS,''
APDT,''
APDU,''
APDV,''
APDW,''
APDX,''
APDY,''
APDZ,''
APGL,''
APGR,''
APGT,''
APHD,''
APHI,''
APKP,''
APOC,''
APOT,''
APPS,''
APQL,''
APRC,''
APRH,''
APRP,''
APRT,''
APSB,''
APSC,''
APSD,''
APSE,''
APSF,''
APSG,''
APSH,''
APSI,''
APSJ,''
APSK,''
APSL,''
APSM,''
APSN,''
APSO,''
APSP,''
APSQ,''
APSR,''
APSS,''
APST,''
APSU,''
APSV,''
APSW,''
APSX,''
APSY,''
APSZ,''
APTL,''
APUT,''
APVF,''
APVL,''
APVS,''
AQADR,''
AQAUF,''
AQGR,''
AQVK,''
ARBA,''
ARBB,''
ARBC,''
ARBD,''
ARBE,''
ARBF,''
ARBG,''
ARBH,''
ARBI,''
ARBJ,''
ARBK,''
ARBL,''
ARBM,''
ARBN,''
ARBO,''
ARBP,''
ARBQ,''
ARBR,''
ARBS,''
ARBT,''
ARBU,''
ARBV,''
ARBW,''
ARBX,''
ARBY,''
ARBZ,''
ARCH,''
ARCO,''
ARCP,''
ARDC,''
ARDL,''
ARDM,''
ARDT,''
AREP,''
ARFC,''
ARFN,''
ARKO,''
ARKP,''
ARPT,''
ARRC,''
ARRP,''
ARST,''
ARTPR,''
ARVA,''
ARVC,''
ARVP,''
ARWC,''
ASAP,''
ASAU,''
ASBL,''
ASDO,''
ASIM,''
ASMT,''
ASNA,''
ASND,''
ASNF,''
ASNI,''
ASNK,''
ASNM,''
ASNN,''
ASNT,''
ASOC,''
ASOU,''
ASPR,''
ASPS,''
ASPU,''
ASRF,''
ASRP,''
ASRS,''
ASRT,''
ASRU,''
ASSN,''
ASSP,''
ASST,''
ASTC,''
ASTD,''
ASTE,''
ASTF,''
ASTG,''
ASTH,''
ASTI,''
ASTJ,''
ASTK,''
ASTL,''
ASTM,''
ASTN,''
ASTO,''
ASTP,''
ASTQ,''
ASTR,''
ASTS,''
ASTT,''
ASTU,''
ASTV,''
ASTW,''
ASTX,''
ASTY,''
ASTZ,''
ASUA,''
ASUB,''
ASUC,''
ASUD,''
ASUE,''
ASUF,''
ASUG,''
ASUH,''
ASUI,''
ASUJ,''
ASUK,''
ASUL,''
ASUM,''
ASUN,''
ASUO,''
ASUP,''
ASUQ,''
ASUR,''
ASUS,''
ASUT,''
ASUU,''
ASUV,''
ASUW,''
ASUX,''
ASUY,''
ASUZ,''
ASVA,''
ASVB,''
ASVC,''
ASVD,''
ASVE,''
ASVF,''
ASVG,''
ASVH,''
ASVI,''
ASVJ,''
ASVK,''
ASVL,''
ASVM,''
ASVN,''
ASVO,''
ASVP,''
ASVQ,''
ASVR,''
ASVS,''
ASVT,''
ASVU,''
ASVV,''
ASVW,''
ASVX,''
ASVY,''
ASVZ,''
ASWA,''
ASWB,''
ASWC,''
ASWD,''
ASWE,''
ASWF,''
ASWG,''
ASWH,''
ASWI,''
ASWJ,''
ASWK,''
ASWL,''
ASWM,''
ASWN,''
ASWO,''
ASWP,''
ASWQ,''
ASWR,''
ASWS,''
ASWT,''
ASWU,''
ASWV,''
ASWW,''
ASWX,''
ASWY,''
ASWZ,''
ASXA,''
ASXB,''
ASXC,''
ASXD,''
ASXE,''
ASXF,''
ASXG,''
ASXH,''
ASXI,''
ASXJ,''
ASXK,''
ASXL,''
ASXM,''
ASXN,''
ASXO,''
ASXP,''
ASXQ,''
ASXR,''
ASXS,''
ASXT,''
ASXU,''
ASXV,''
ASXW,''
ASXX,''
ASXY,''
ASXZ,''
ASYA,''
ASYB,''
ASYC,''
ASYD,''
ASYE,''
ASYF,''
ASYG,''
ASYH,''
ASYI,''
ASYJ,''
ASYK,''
ASYL,''
ASYM,''
ASYN,''
ASYO,''
ASYP,''
ASYQ,''
ASYR,''
ASYS,''
ASYT,''
ASYU,''
ASYV,''
ASYW,''
ASYX,''
ASYY,''
ASYZ,''
ASZA,''
ASZB,''
ASZC,''
ASZD,''
ASZE,''
ASZF,''
ASZG,''
ASZH,''
ASZI,''
ASZJ,''
ASZK,''
ASZL,''
ASZM,''
ASZN,''
ASZO,''
ASZP,''
ASZQ,''
ASZR,''
ASZS,''
ASZT,''
ASZU,''
ASZV,''
ASZW,''
ASZX,''
ASZY,''
ASZZ,''
ATAB,''
ATDC,''
ATIF,''
ATIH,''
ATKB,''
ATKO,''
ATKS,''
ATKT,''
ATPR,''
ATRD,''
ATRR,''
ATRT,''
ATYP,''
AUAA,''
AUAB,''
AUAC,''
AUAD,''
AUAE,''
AUAF,''
AUAG,''
AUAH,''
AUAI,''
AUAJ,''
AUAK,''
AUAL,''
AUAM,''
AUAN,''
AUAO,''
AUAP,''
AUAQ,''
AUAR,''
AUAS,''
AUAT,''
AUAU,''
AUAV,''
AUAW,''
AUAX,''
AUAY,''
AUAZ,''
AUBA,''
AUBB,''
AUBC,''
AUBD,''
AUBE,''
AUBF,''
AUBG,''
AUBH,''
AUBI,''
AUBJ,''
AUBK,''
AUBL,''
AUBM,''
AUBN,''
AUBO,''
AUBP,''
AUBQ,''
AUBR,''
AUBS,''
AUBT,''
AUBU,''
AUBV,''
AUBW,''
AUBX,''
AUBY,''
AUBZ,''
AUCA,''
AUCB,''
AUCC,''
AUCD,''
AUCE,''
AUCF,''
AUCG,''
AUCH,''
AUCI,''
AUCJ,''
AUCK,''
AUCL,''
AUCM,''
AUCN,''
AUCO,''
AUCP,''
AUCQ,''
AUCR,''
AUCS,''
AUCT,''
AUCU,''
AUCV,''
AUCW,''
AUCX,''
AUCY,''
AUCZ,''
AUDA,''
AUDB,''
AUDC,''
AUDD,''
AUDE,''
AUDF,''
AUDG,''
AUDH,''
AUDI,''
AUDJ,''
AUDK,''
AUDL,''
AUDM,''
AUDN,''
AUDO,''
AUDP,''
AUDQ,''
AUDR,''
AUDS,''
AUDT,''
AUDU,''
AUDV,''
AUDW,''
AUDX,''
AUDY,''
AUDZ,''
AUEA,''
AUEB,''
AUEC,''
AUED,''
AUEE,''
AUEF,''
AUEG,''
AUEH,''
AUEI,''
AUEJ,''
AUEK,''
AUEL,''
AUEM,''
AUEN,''
AUEO,''
AUEP,''
AUEQ,''
AUER,''
AUES,''
AUET,''
AUEU,''
AUEV,''
AUEW,''
AUEX,''
AUEY,''
AUEZ,''
AUFA,''
AUFB,''
AUFC,''
AUFD,''
AUFE,''
AUFF,''
AUFG,''
AUFH,''
AUFI,''
AUFJ,''
AUFK,''
AUFL,''
AUFM,''
AUFN,''
AUFO,''
AUFP,''
AUFQ,''
AUFR,''
AUFS,''
AUFT,''
AUFU,''
AUFV,''
AUFW,''
AUFX,''
AUFY,''
AUFZ,''
AUGA,''
AUGB,''
AUGC,''
AUGD,''
AUGE,''
AUGF,''
AUGG,''
AUGH,''
AUGI,''
AUGJ,''
AUGK,''
AUGL,''
AUGM,''
AUGN,''
AUGO,''
AUGP,''
AUGQ,''
AUGR,''
AUGS,''
AUGT,''
AUGU,''
AUGV,''
AUGW,''
AUGX,''
AUGY,''
AUGZ,''
AUHA,''
AUHB,''
AUHC,''
AUHD,''
AUHE,''
AUHF,''
AUHG,''
AUHH,''
AUHI,''
AUHJ,''
AUHK,''
AUHL,''
AUHM,''
AUHN,''
AUHO,''
AUHP,''
AUHQ,''
AUHR,''
AUHS,''
AUHT,''
AUHU,''
AUHV,''
AUHW,''
AUHX,''
AUHY,''
AUHZ,''
AUIA,''
AUIB,''
AUIC,''
AUID,''
AUIE,''
AUIF,''
AUIG,''
AUIH,''
AUII,''
AUIJ,''
AUIK,''
AUIL,''
AUIM,''
AUIN,''
AUIO,''
AUIP,''
AUIQ,''
AUIR,''
AUIS,''
AUIT,''
AUIU,''
AUIV,''
AUIW,''
AUIX,''
AUIY,''
AUIZ,''
AUJA,''
AUJB,''
AUJC,''
AUJD,''
AUJE,''
AUJF,''
AUJG,''
AUJH,''
AUJI,''
AUJJ,''
AUJK,''
AUJL,''
AUJM,''
AUJN,''
AUJO,''
AUJP,''
AUJQ,''
AUJR,''
AUJS,''
AUJT,''
AUJU,''
AUJV,''
AUJW,''
AUJX,''
AUJY,''
AUJZ,''
AUKA,''
AUKB,''
AUKC,''
AUKD,''
AUKE,''
AUKF,''
AUKG,''
AUKH,''
AUKI,''
AUKJ,''
AUKK,''
AUKL,''
AUKM,''
AUKN,''
AUKO,''
AUKP,''
AUKQ,''
AUKR,''
AUKS,''
AUKT,''
AUKU,''
AUKV,''
AUKW,''
AUKX,''
AUKY,''
AUKZ,''
AULA,''
AULB,''
AULC,''
AULD,''
AULE,''
AULF,''
AULG,''
AULH,''
AULI,''
AULJ,''
