ACDOCA is a standard SAP Table which is used to store Universal Journal Entry Line Items data and is available within S/4 HANA SAP systems depending on the version and release level. Below is the technical details and the list of fields specifically relevant for an SAP S/4 HANA system

Even using an S/4 Hana system you can still view further information about the SAP ACDOCA table and the data within it using standard SAP GUI transactions such as SE11, SE80 or SE16. Or you can use the ADT (ABAP development tools within eclipse).

Delivery Class: A - Application table (master and transaction data)
Display/Maintenance via SM30: Display/Maintenance Allowed but with Restrictions
Enhancement category: Can be enhanced (character-type or numeric)
Dictionary Type: Transparent table
Database Table: ACDOCA


ACDOCA table structure field list
Below is the full ACDOCA field list that makes up the SAP database table structure, including key fields, description, data type and other technical details of each field


Field	Description	Data Element	Data Type	length (Dec)	Check table	Conversion Routine	Domain Name	MemoryID	SHLP	SHLP Field
RCLNT	Client	MANDT	CLNT	3(0)	T000		MANDT			
RLDNR	Ledger in General Ledger Accounting	FINS_LEDGER	CHAR	2(0)	FINSC_LEDGER	ALPHA	FINS_LEDGER	GLN_FLEX	FAGL_RLDNR	RLDNR
RBUKRS	Company Code	BUKRS	CHAR	4(0)	T001		BUKRS	BUK	C_T001	BUKRS
GJAHR	Fiscal Year	GJAHR	NUMC	4(0)		GJAHR	GJAHR	GJR		
BELNR	Accounting Document Number	BELNR_D	CHAR	10(0)		ALPHA	BELNR	BLN		
DOCLN	Six-Character Posting Item for Ledger	DOCLN6	CHAR	6(0)			DOCLN6			
RYEAR	General Ledger Fiscal Year	GJAHR_POS	NUMC	4(0)		GJAHR	GJAHR			
DOCNR_LD	Ledger specific Accounting Document Number	FINS_DOCNR_LD	CHAR	10(0)		ALPHA	BELNR			
RRCTY	Record Type	RRCTY	CHAR	1(0)			RRCTY			
RMVCT	Transaction type	RMVCT	CHAR	3(0)	T856		RMVCT			
VORGN	Transaction Type for General Ledger	VORGN	CHAR	4(0)			VORGN			
VRGNG	CO Business Transaction	CO_VORGANG	CHAR	4(0)	TJ01		J_VORGANG			
BTTYPE	Business Transaction Type	FINS_BTTYPE	CHAR	4(0)	FINSC_BTTYPE		FINS_BTTYPE			
AWTYP	Reference procedure	AWTYP	CHAR	5(0)	TTYP		AWTYP			
AWSYS	Logical system of source document	AWSYS	CHAR	10(0)	TBDLS	ALPHA	LOGSYS			
AWORG	Reference Organizational Units	AWORG	CHAR	10(0)			AWORG			
AWREF	Reference document number	AWREF	CHAR	10(0)		ALPHA	AWREF			
AWITEM	Reference Document Line Item	FINS_AWITEM	NUMC	6(0)			NUMC6			
AWITGRP	Group of Reference Document Line Items	FINS_AWITGRP	NUMC	6(0)			NUMC6			
SUBTA	Partial Document to be balanced to zero	FINS_SUBTA	NUMC	6(0)			NUMC6			
XREVERSING	Indicator: Item is reversing another item	FINS_XREVERSING	CHAR	1(0)			XFELD			
XREVERSED	Indicator: Item is reversed	FINS_XREVERSED	CHAR	1(0)			XFELD			
XTRUEREV	Indicator: True reversal (i.e. cancellation)	FINS_XTRUEREV	CHAR	1(0)			XFELD			
AWTYP_REV	Reversal: Reference Transaction of Document To Be Reversed	AWTYP_REV	CHAR	5(0)	TTYP		AWTYP			
AWORG_REV	Reversal: Reverse Document Reference Organization	AWORG_REV	CHAR	10(0)			AWORG			
AWREF_REV	Reversal: Reverse Document Reference Document Number	AWREF_REV	CHAR	10(0)		ALPHA	AWREF			
SUBTA_REV	Reversal: Partial Document to be balanced to zero	FINS_SUBTA_REV	NUMC	6(0)			NUMC6			
XSETTLING	Indicator: Item is settling or transferring another item	FINS_XSETTLING	CHAR	1(0)			XFELD			
XSETTLED	Indicator: Line item is settled or transferred	FINS_XSETTLED	CHAR	1(0)			XFELD			
PREC_AWTYP	Preceding Document Reference Transaction	FINS_PREC_AWTYP	CHAR	5(0)	TTYP		AWTYP			
PREC_AWSYS	Logical System of Preceding Reference Document	FINS_PREC_AWSYS	CHAR	10(0)	TBDLS	ALPHA	LOGSYS			
PREC_AWORG	Preceding Document Reference Organizational Units	FINS_PREC_AWORG	CHAR	10(0)			AWORG			
PREC_AWREF	Preceding Document Reference Document Number	FINS_PREC_AWREF	CHAR	10(0)		ALPHA	AWREF			
PREC_AWITEM	Preceding Reference Document Line Item	FINS_PREC_AWITEM	NUMC	6(0)			NUMC6			
PREC_SUBTA	Preceding Partial Document to be balanced to zero	FINS_PREC_SUBTA	NUMC	6(0)			NUMC6			
PREC_AWMULT	ID of multiple Preceding Document References	FINS_PREC_AWMULT_UUID	RAW	16(0)			SYSUUID			
PREC_BUKRS	Preceding Journal Entry Company Code	FINS_PREC_BUKRS	CHAR	4(0)	T001		BUKRS			
PREC_GJAHR	Preceding Journal Entry Fiscal Year	FINS_PREC_GJAHR	NUMC	4(0)		GJAHR	GJAHR			
PREC_BELNR	Preceding Journal Entry Document Number	FINS_PREC_BELNR	CHAR	10(0)		ALPHA	BELNR			
PREC_DOCLN	Preceding Journal Entry Line Item	FINS_PREC_DOCLN	CHAR	6(0)			DOCLN6			
XSECONDARY	Secondary journal entry	FINS_SECONDARY_ENTRY	CHAR	1(0)			BOOLE			
CLOSING_RUN_ID	Financial Closing Run ID	CLS_RUN_ID	RAW	16(0)			UUID			
SRC_AWTYP	Source Document Reference Transaction	FINS_SRC_AWTYP	CHAR	5(0)	TTYP		AWTYP			
SRC_AWSYS	Logical System of Source Reference Document	FINS_SRC_AWSYS	CHAR	10(0)	TBDLS	ALPHA	LOGSYS			
