FINSC_LD_CMP is a standard SAP Table which is used to store CompCode-Dependent Settings for Univ. Journal Entry Ledger data and is available within S/4 HANA SAP systems depending on the version and release level. Below is the technical details and the list of fields specifically relevant for an SAP S/4 HANA system

Even using an S/4 Hana system you can still view further information about the SAP FINSC_LD_CMP table and the data within it using standard SAP GUI transactions such as SE11, SE80 or SE16. Or you can use the ADT (ABAP development tools within eclipse).

Delivery Class: C - Customising table, maintenance only by cust
Display/Maintenance via SM30: Display/Maintenance Allowed but with Restrictions
Enhancement category: Can be enhanced (character-type)
Dictionary Type: Transparent table
Database Table: FINSC_LD_CMP


FINSC_LD_CMP table structure field list
Below is the full FINSC_LD_CMP field list that makes up the SAP database table structure, including key fields, description, data type and other technical details of each field


Field	Description	Data Element	Data Type	length (Dec)	Check table	Conversion Routine	Domain Name	MemoryID	SHLP	SHLP Field
MANDT	Client	MANDT	CLNT	3(0)	T000		MANDT			
RLDNR	Ledger in General Ledger Accounting	FINS_LEDGER	CHAR	2(0)	FINSC_LEDGER	ALPHA	FINS_LEDGER	GLN_FLEX	FAGL_RLDNR	RLDNR
BUKRS	Company Code	BUKRS	CHAR	4(0)	T001		BUKRS	BUK	C_T001	BUKRS
CURTPH	Currency Type of Currency 1	FINS_CURTYPE_H	CHAR	2(0)	FINSC_CURTYPE		FINS_CURTYPE			
MLRELINDH	HSL is relevant in Material Ledger	FINS_ML_CUR_IND_H	CHAR	1(0)			XSDBOOLEAN			
CURTPK	Currency Type of Currency 2	FINS_CURTYPE_K	CHAR	2(0)	FINSC_CURTYPE		FINS_CURTYPE			
CURPOSK	Currency position in NewGL for KSL	FINS_CUR_POS_K	CHAR	1(0)			FINS_CUR_POS			
MLRELINDK	KSL is relevant in Material Ledger	FINS_ML_CUR_IND_K	CHAR	1(0)			XSDBOOLEAN			
CURTPO	Currency Type of Freely Defined Currency 1	FINS_CURTYPE_O	CHAR	2(0)	FINSC_CURTYPE		FINS_CURTYPE			
CURPOSO	Currency position in NewGL for OSL	FINS_CUR_POS_O	CHAR	1(0)			FINS_CUR_POS			
MLRELINDO	OSL is relevant in Material Ledger	FINS_ML_CUR_IND_O	CHAR	1(0)			XSDBOOLEAN			
CURTPV	Currency Type of Freely Defined Currency 2	FINS_CURTYPE_V	CHAR	2(0)	FINSC_CURTYPE		FINS_CURTYPE			
CURPOSV	Currency position in NewGL for VSL	FINS_CUR_POS_V	CHAR	1(0)			FINS_CUR_POS			
MLRELINDV	VSL is relevant in Material Ledger	FINS_ML_CUR_IND_V	CHAR	1(0)			XSDBOOLEAN			
CURTPB	Currency Type of Third Freely Defined Currency	FINS_CURTYPE_B	CHAR	2(0)	FINSC_CURTYPE		FINS_CURTYPE			
CURPOSB	Currency position in NewGL for BSL	FINS_CUR_POS_B	CHAR	1(0)			FINS_CUR_POS			
MLRELINDB	BSL is relevant in Material Ledger	FINS_ML_CUR_IND_B	CHAR	1(0)			XSDBOOLEAN			
CURTPC	Currency Type of Freely Defined Currency 4	FINS_CURTYPE_C	CHAR	2(0)	FINSC_CURTYPE		FINS_CURTYPE			
CURPOSC	Currency position in NewGL for CSL	FINS_CUR_POS_C	CHAR	1(0)			FINS_CUR_POS			
MLRELINDC	CSL is relevant in Material Ledger	FINS_ML_CUR_IND_C	CHAR	1(0)			XSDBOOLEAN			
CURTPD	Currency Type of Freely Defined Currency 5	FINS_CURTYPE_D	CHAR	2(0)	FINSC_CURTYPE		FINS_CURTYPE			
CURPOSD	Currency position in NewGL for DSL	FINS_CUR_POS_D	CHAR	1(0)			FINS_CUR_POS			
MLRELINDD	DSL is relevant in Material Ledger	FINS_ML_CUR_IND_D	CHAR	1(0)			XSDBOOLEAN			
CURTPE	Currency Type of Freely Defined Currency 6	FINS_CURTYPE_E	CHAR	2(0)	FINSC_CURTYPE		FINS_CURTYPE			
CURPOSE	Currency position in NewGL for ESL	FINS_CUR_POS_E	CHAR	1(0)			FINS_CUR_POS			
MLRELINDE	ESL is relevant in Material Ledger	FINS_ML_CUR_IND_E	CHAR	1(0)			XSDBOOLEAN			
CURTPF	Currency Type of Freely Defined Currency 7	FINS_CURTYPE_F	CHAR	2(0)	FINSC_CURTYPE		FINS_CURTYPE			
CURPOSF	Currency position in NewGL for FSL	FINS_CUR_POS_F	CHAR	1(0)			FINS_CUR_POS			
MLRELINDF	FSL is relevant in Material Ledger	FINS_ML_CUR_IND_F	CHAR	1(0)			XSDBOOLEAN			
CURTPG	Currency Type of Freely Defined Currency 8	FINS_CURTYPE_G	CHAR	2(0)	FINSC_CURTYPE		FINS_CURTYPE			
CURPOSG	Currency position in NewGL for GSL	FINS_CUR_POS_G	CHAR	1(0)			FINS_CUR_POS			
MLRELINDG	GSL is relevant in Material Ledger	FINS_ML_CUR_IND_G	CHAR	1(0)			XSDBOOLEAN			
PERIV	Fiscal Year Variant	PERIV	CHAR	2(0)	T009		PERIV			
PARGLACCTS	Parallel Accounting Using Additional G/L Accounts	FINS_PARALLEL_GLACCT	CHAR	1(0)			BOOLE			
OPVAR	Posting Period Variant	OPVAR	CHAR	4(0)	T010O		OPVAR			
TOYEAR	Fiscal Year Until which a General Ledger Is Activated	FAGL_TOYEAR	NUMC	4(0)		GJAHR	GJAHR			
WRITE_DOCNR_LD	Provide a ledger specific doc. number in universal journal	FINS_WRITE_DOCNR_LD	CHAR	1(0)			BOOLE			
ACC_PRINCIPLE	Accounting Principle for Ledger/Company Code	ACC_PRINCIPLE_LD_CMP	CHAR	4(0)	TACC_PRINCIPLE		ACCOUNTING_PRINCIPLE			
FUNCTIONAL_CURRENCY	Functional Currency Type	FINSC_FUNCTIONAL_CURTYPE	CHAR	2(0)	FINSC_CURTYPE		FINS_CURTYPE			
